origin,desc_1,desc_3,roast,agtron
Mexico; Ethiopia; Peru,"Evaluated as espresso. Crisply sweet, deep-toned. Salted caramel, plum, grapefruit zest, fresh-cut oak, lily in aroma and small cup. Sweet structure with juicy-bright acidity; very full, satiny mouthfeel. The finish leads with notes of caramel and grapefruit zest. Complex and deep in three parts milk with lingering notes of florals and salted caramel.",A vibrantly satisfying blend with leading notes of caramel and bittersweet citrus and especially lively acidity. Explore Similar CoffeesClick here for more reviews from Madness Roastworks ,Medium-Light,57/77
Mexico; Panama; Colombia,"Evaluated as espresso. Crisply sweet, fruit-toned. Goji berry, cocoa powder, cashew, orange zest, cedar in aroma and small cup. Sweet-toned structure with gentle acidity; satiny-smooth mouthfeel. Nut- and cocoa-toned finish. Chocolate-toned and citrusy in three parts milk.","An inviting blend with leading notes of cocoa and dried fruit, with undertones of citrus zest and rich aromatic wood.Explore Similar CoffeesClick here for more reviews from Madness Roastworks ",Medium-Light,58/77
Ethiopia; Panama; Peru,"Evaluated as espresso. Floral-toned, gently spicy. Freesia, baking chocolate, candied walnut, fresh-cut cedar, agave syrup in aroma and small cup. Crisply sweet structure with brisk acidity; lightly satiny mouthfeel. Bittersweet finish with notes of freesia and candied walnut. Crisply chocolaty in cappuccino-scaled milk.","A straight-ahead blend of three washed-process coffees, crisply chocolaty and delicately floral-toned.Explore Similar CoffeesClick here for more reviews from Madness Roastworks ",Medium-Light,56/70
"Boquete growing region, Panama","Fruity, spice-toned, sweetly fermenty. Cherry liqueur, tiramisu, gardenia, tangerine zest, sage in aroma and cup. Richly sweet structure with winey acidity; plush, creamy mouthfeel. Resonant finish, driven by notes of cherry liqueur and gardenia with undertones of sage.","An aromatically intense, deep-toned Panama coffee with focused fruit, floral and sweet herb notes.Explore Similar CoffeesClick here for more reviews from PT's Coffee Roasting Co.Click here for more information about coffees from PanamaVisit PT's Coffee Roasting Co. ",Medium-Light,58/77
"Chiriqui Province, western Panama","Elegantly bright, richly sweet. Apricot, bergamot, cocoa nib, sandalwood, star jasmine in aroma and cup. Balanced structure with high-toned acidity; silky, viscous mouthfeel. Long, lingering finish centers around notes of cocoa nib and apricot, with a shimmer of star jasmine.","A harmonious, very satisfying washed Panama cup, classic in its delicate balance of stone fruit, cocoa nib and spicy florals.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from PanamaVisit GK Coffee ",Light,60/82
"Mercedes Sur, Turrubares, San José Province, Costa Rica","Deeply sweet-savory, unusual. Caramel, goat milk yogurt, raspberry, cedar, sage in aroma and cup. Richly bittersweet in structure with bright acidity; syrupy mouthfeel. Savory-leaning finish with undertones of caramel and sage.","An appealingly oddball anaerobic coffee from Costa Rica with umami depth, zingy acidity and an eccentric, unconventional flavor profile. ",Medium-Light,58/76
"Mercedes Sur, Turrubares, San José Province, Costa Rica","Evaluated as espresso. Richly aromatic, fruity, spice-toned. Baking spices, pineapple, dark chocolate, cedar, apple cider in aroma and small cup. Crisp, velvety mouthfeel; spice-toned, fruity finish. In three parts milk, suggests a pineapple milkshake.","An unusual Costa Rica espresso, anaerobically processed with the addition of pineapple and cinnamon during fermentation, resulting in an amped-up fruit-and-spice dominated shot.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from Costa RicaVisit GK Coffee ",Medium-Light,58/78
Brazil; Guatemala; Nicaragua,"Quietly confident, gently bright. Pear, almond, lily, fir, orange zest in aroma and cup. Crisply bittersweet structure with brisk acidity; delicate, silky mouthfeel. The gently drying finish leads with notes of orange zest and fir.","A friendly, easy-access blend driven by notes of pear, almond and citrus zest, with undertones of sweet florals and aromatic wood.Explore Similar CoffeesClick here for more reviews from Dear John Coffee ",Medium-Light,55/71
"Kayanza Province, Burundi","High-toned, richly sweet and deep. Nectarine, cherry blossom, hazelnut, lemon-thyme, dark chocolate in aroma and cup. Sweet structure with bright, juicy acidity; crisp mouthfeel. Long, flavor-laden finish that carries forward all the aroma and flavor notes from the cup.",A washed Burundi processed with the addition of a yeast designed to intensify the green coffee’s inherent sensory properties. Especially balanced acidity and resonant finish.Explore Similar CoffeesClick here for more reviews from Regent CoffeeClick here for more information about coffees from BurundiVisit Regent Coffee ,Medium-Light,57/74
"Tolima Department, Colombia","Sweetly savory, fruit-driven. Candy apple, lime zest, baking chocolate, cedar, narcissus in aroma and cup. Bittersweet structure with brisk acidity; crisp, satiny mouthfeel. Finish consolidates to notes of chocolate and citrus.",An invitingly bittersweet Colombia Pink Bourbon processed by the anaerobic natural method: chocolaty and citrusy with floral undertones.Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from ColombiaVisit Jaunt Coffee Roasters ,Medium-Light,59/77
"Kayanza Province, Burundi","Delicate, balanced, sweet-toned. Baking chocolate, pear, almond, fresh-cut oak, agave syrup in aroma and cup. Brisk acidity; velvety-smooth mouthfeel. Sweetly nutty finish supported by notes of agave and oak.","A friendly, accessible washed Burundi cup; crisply chocolaty and nut-toned throughout.Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from BurundiVisit Jaunt Coffee Roasters ",Medium-Light,56/72
"Ibarra, Imbabura Province, Ecuador","Richly sweet, high-toned. Mulberry, dark chocolate, agave syrup, lemon verbena, cedar in aroma and cup. Sweet in structure with juicy-bright acidity; very full, syrupy mouthfeel. Resonant, long, flavor-saturated finish.",A compelling berry- and chocolate-driven Ecuador cup with juicy acidity and a plush mouthfeel.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from EcuadorVisit Bird Rock Coffee Roasters ,Medium-Light,58/76
"Alto Quiel, Panama","Juicy, balanced, bright. Bing cherry, wisteria, cocoa nib, blood orange, marjoram in aroma and cup. Sweetly tart with citrusy acidity; plush, syrupy mouthfeel. The crisply sweet finish centers around notes of cherry and cocoa nib.","A dynamic, exhilarating Panama Gesha driven by flowers and big, balanced fruit throughout.Explore Similar CoffeesClick here for more reviews from PT's Coffee Roasting Co.Click here for more information about coffees from PanamaVisit PT's Coffee Roasting Co. ",Medium-Light,60/77
"Holualoa, Kona, Big Island of Hawai’i","Fruit-forward, elegantly bright. Lychee, passionfruit, cashew butter, sandalwood, bergamot in aroma and cup. Sweetly tart with vibrant acidity; crisp, syrupy mouthfeel. Fruit-toned finish with undertones of cashew butter and sandalwood. ","A Kona from the admired SL34 variety processed by a proprietary method that promotes a distinctly rich, juicy, fruit-driven cup.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from HawaiiVisit Paradise Roasters ",Medium-Light,58/76
"Yirgacheffe growing region, southern Ethiopia","Delicate, richly aromatic, floral-toned. Narcissus, apricot, almond, Meyer lemon zest, fresh-cut oak in aroma and cup. Sweetly tart structure with juicy-bright acidity; vibrantly silky mouthfeel. The long finish centers around notes of narcissus and almond.","A fine, classic washed Ethiopia Yirgacheffe cup: high-toned, driven by sweet florals and stone fruit.Explore Similar CoffeesClick here for more reviews from Merge Coffee CompanyClick here for more information about coffees from Ethiopia ",Medium-Light,60/78
"Tarrazu growing region, Costa Rica","Crisply sweet, deeply spice-toned. Cinnamon, date, raspberry, baking chocolate, amber in aroma and cup. Sweet structure with gently brisk acidity; full, satiny-smooth mouthfeel. The finish consolidates to notes of date and cinnamon with undertones of amber.",A sweetly spice-driven cup with warm notes of baking spices and both bright and dark fruits.Explore Similar CoffeesClick here for more reviews from Merge Coffee CompanyClick here for more information about coffees from Costa Rica ,Medium-Light,58/77
"Mbozi, Mbeya growing region, southwestern Tanzania","Balanced, vibrant, complex. Mulberry, dark chocolate, mustard seed, star jasmine, sandalwood in aroma and cup. Juicy-bright structure with vibrant phosphoric acidity; very full, syrupy mouthfeel. Long, flavor-saturated finish. ","A deeply pleasing Tanzania cup, multi-layered and complete — richly sweet, deeply savory, spice-toned and floral.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from TanzaniaVisit Roadmap CoffeeWorks ",Medium-Light,58/76
"Santa Maria de Dota, Costa Rica","Sweetly tart, juicy and vibrant. Pink grapefruit, nectarine, cocoa nib, lavender, cedar in aroma and cup. High-toned structure with sweet, lively acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of cocoa-toned fruit supported by cedar.","A harmonious, integrated natural-processed Costa Rica cup: juicy, deep-toned and fruit-driven.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from Costa RicaVisit Roadmap CoffeeWorks ",Medium-Light,60/78
"Sidamo growing region, southern Ethiopia","Crisply sweet, fruit-forward. Blueberry, baking chocolate, fresh-cut fir, cashew, magnolia in aroma and cup. Sweet-toned with gentle acidity; delicate, satiny mouthfeel. The quiet finish centers around notes of blueberry and fir.","A sweet, fruit-first natural-processed Ethiopia cup with a blueberry and chocolate throughline.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from EthiopiaVisit Roadmap CoffeeWorks ",Medium-Light,61/77
"Huila, Colombia","High-toned, delicate, confident. Star-jasmine, cocoa nib, blood orange, black sage, sandalwood in aroma and cup. Sweet-toned structure with poised and elegantly bright acidity; very smooth, silky mouthfeel. Sandalwood notes contribute resonance to the floral-toned finish.","A complex, nuanced Colombia Gesha cup processed by an elaborate variation on the traditional washed method.Explore Similar CoffeesClick here for more reviews from Mostra CoffeeClick here for more information about coffees from ColombiaVisit Mostra Coffee ",Medium-Light,60/77
"Nyeri growing region, south-central Kenya","Sweet-toned, richly aromatic. Red currant, honey, narcissus, cedar, lavender in aroma and cup. Sweetly tart with bright, juicy acidity; syrupy-smooth mouthfeel. The short finish consolidates to notes of red currant and honey, carrying far into the long.","A classic Kenya cup: deeply sweet, richly savory, balanced and juicy-bright with both sweet (narcissus) and spicy (lavender) floral impulses.Explore Similar CoffeesClick here for more reviews from Buon CaffeClick here for more information about coffees from KenyaVisit Buon Caffe ",Medium-Light,59/79
"Benguet, Philippines","Sweetly pungent with savory undertones. Lychee, marjoram, cocoa nib, freesia-like flowers, roasted almond in aroma and cup. Crisply sweet structure with juicy acidity; smooth, satiny mouthfeel. Nutty, sweetly herbaceous finish.",A deeply aromatic Philippines cup evoking tropical fruit and rich cocoa.Explore Similar CoffeesClick here for more reviews from Mostra CoffeeVisit Mostra Coffee ,Medium-Light,59/76
"Benguet Province, The Philippines","Fruit-toned, sweetly herbaceous. Goji berry, lemon verbena, cedar, baking chocolate, malt in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Quietly chocolaty finish with citrus undertones.","An attractive anaerobically processed Philppines cup with an especially viscous, syrupy mouthfeel.",Medium-Light,58/76
"Tarrazu growing region, Costa Rica","High-toned, floral. Nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. Sweet structure with bright, juicy acidity; silky-smooth mouthfeel. The cocoa-toned finish is complicated by hints of lilac and cedar.",A pretty Costa Rica Geisha processed by the honey method. Floral-driven with ballast from cocoa notes.Explore Similar CoffeesClick here for more reviews from Buon CaffeClick here for more information about coffees from Costa RicaVisit Buon Caffe ,Medium-Light,60/76
"Gedeb District, Gedeo Zone, southern Ethiopia","Crisply sweet and inviting. Caramel, pear, baking chocolate, fir, mustard flower in aroma and cup. Sweet-savory structure with gentle acidity; satiny mouthfeel. Notes of caramel and pear lead the finish, with undertones of baking chocolate.",A friendly washed Ethiopia cup with notes of pear and crisp chocolate as throughlines.Explore Similar CoffeesClick here for more reviews from Buon CaffeClick here for more information about coffees from EthiopiaVisit Buon Caffe ,Medium-Light,58/76
"Tarrazú growing region, Costa Rica","Sweet-toned, delicate and deep. Dark chocolate, lychee, lemon verbena, maple syrup, hazelnut in aroma and cup. Brightly sweet structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish centers around notes of chocolate and maple syrup.",A paradoxically bright yet deep honey-processed Costa Rica cup with a sweet herb throughline.Explore Similar CoffeesClick here for more reviews from Jackrabbit JavaClick here for more information about coffees from Costa RicaVisit Jackrabbit Java ,Medium-Light,60/78
"Pitalito Municipality, Huila Department, Colombia","Elegant, delicate, rich-toned. Mango, cocoa nib, marjoram, lavender, cane sugar in aroma and cup. Sweetly tart structure with bright, juicy acidity; very full, syrupy mouthfeel. The pretty finish leads with lavender and cocoa nib.",A focused but lush cup from trees of a rare indigenous Ethiopian landrace variety grown in Colombia called Aji — tropical-leaning with a cocoa backbone. Explore Similar CoffeesClick here for more reviews from Equator CoffeesClick here for more information about coffees from ColombiaVisit Equator Coffees ,Light,62/80
Costa Rica; Sumatra,"Deeply sweet-savory. Dark chocolate, fresh humus, yellow plum, cashew, oak in aroma and cup. Sweet structure with brisk acidity; silky, lightly viscous mouthfeel. Finish consolidates to earthy chocolate and nut.","A solid, medium-roasted Costa Rica/Sumatra blend that offers deep earthy sweetness juxtaposed with crisp fruit.Explore Similar CoffeesClick here for more reviews from Coffee Hound ",Medium-Light,54/70
"Chiriquí Province, Panama","Balanced, deeply sweet. Dark chocolate, honeysuckle, date, orange zest, cedar in aroma and cup. Sweet-toned with bright, vibrant acidity; crisp, velvety mouthfeel. Chocolaty finish with undertones of orange zest.","A floral-toned, chocolaty, and very affordable Panama cup with particularly vibrant acidity.Explore Similar CoffeesClick here for more reviews from Jackrabbit JavaClick here for more information about coffees from PanamaVisit Jackrabbit Java ",Medium-Light,59/77
"Northern Province, Zambia","Gently sweet-tart, fruit-toned. Goji berry, amber, grapefruit zest, agave syrup, cedar in aroma and cup. Crisply sweet structure with tart-leaning acidity; full, satiny mouthfeel. The finish leads with notes of sweet goji berry, backed up by perfumy amber notes.","An interesting, rare natural-processed Zambia coffee, worth seeking out for its unique cup profile and leading notes of dried fruit and resinous amber.Explore Similar CoffeesClick here for more reviews from Jackrabbit JavaClick here for more information about coffees from ZambiaVisit Jackrabbit Java ",Medium-Light,58/74
"Chiapas, Mexico","Crisply chocolaty, deep-toned. Baking chocolate, almond, lily, candy apple, fir in aroma and cup. Sweet structure with gently round acidity; full, crisply syrupy mouthfeel. Gently drying, quite chocolaty finish.","A solid decaffeinated Mexico coffee, processed without harsh solvents, that preserves pleasing chocolate and florals in the cup.Explore Similar CoffeesClick here for more reviews from Jackrabbit JavaClick here for more information about coffees from MexicoVisit Jackrabbit Java ",Medium-Light,57/74
Sumatra; Colombia,"Chocolaty and nut-toned. Chocolate fudge, raisin, gently scorched cedar, gardenia, grapefruit zest in aroma and cup. Bittersweet structure with round acidity; lightly syrupy mouthfeel. Gently drying, wood-framed finish. ","A sweet-toned darker-roasted blend with notes of dark chocolate and spicy florals, complicated by hints of gently scorched, smoky cedar.Explore Similar CoffeesClick here for more reviews from Coffee Hound ",Medium,44/60
"Kiambu growing region, south-central Kenya","Evaluated as espresso. Richly sweet-tart, high-toned, deeply aromatic. Dried pomegranate, honeysuckle, dark chocolate, amber, pink grapefruit zest in aroma and small cup. Plush, voluptuous mouthfeel; resonant, flavor-laden finish. Superb in cappuccino-scaled milk: chocolaty and floral-toned.","Integrated, balanced, deeply rich, this single-origin Kenya espresso is juicy and bright in the straight shot while impressively chocolaty and floral in milk.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from KenyaVisit Kakalove Cafe ",Medium-Light,54/72
"Nyeri County, Kenya","Berry-driven, complexly sweet-savory. Mulberry, praline, cocoa nib, lilac, tangerine zest in aroma and cup. Brightly sweet-savory structure with juicy, vibrant acidity; full, syrupy-smooth mouthfeel. Resonant, lingering, berry-toned finish, chocolaty and floral.","An elegantly powerful, classically composed Kenya cup with rich aromatics and a range of lively fruit, flowers and chocolate on the palate.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from KenyaVisit JBC Coffee Roasters ",Medium-Light,58/76
"Sidama growing region, Ethiopia ","Crisply sweet-tart. Passion fruit, lemon verbena, cocoa nib, freesia, cedar in aroma and cup. Gently tart structure with sweet, high-toned acidity; very smooth, satiny mouthfeel. Cocoa-toned finish supported by notes of lemon verbena and freesia.","A spice-toned, floral-driven natural-processed Ethiopia cup with bright fruit notes and juicy acidity.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from EthiopiaVisit JBC Coffee Roasters ",Medium-Light,60/78
"Guji Zone, Oromia Region, southern Ethiopia","Gently fruit-forward, sweetly savory. Dark chocolate, raspberry coulis, star jasmine, cedar, tangerine zest. Sweet-savory structure with fruity-bright acidity; plush, syrupy mouthfeel. Chocolaty and fruit-driven in the finish, with support from notes of bittersweet citrus.","An engaging, cleanly natural-processed single-variety Ethiopia cup: bright, chocolaty, floral and fruity. Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ",Medium-Light,54/76
"Guji Zone, Oromia Region, southern Ethiopia","Delicate, richly floral-toned. Lavender, blood orange, cocoa nib, almond butter, sandalwood in aroma and cup. Balanced structure with fine, floral-toned acidity; silky-smooth, vibrant mouthfeel. The long, sweet finish centers around notes of cocoa nib, lavender and blood orange.","A complex, nuanced washed Ethiopia cup alive with spice-toned florals, richly bittersweet citrus, and distinct cocoa.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ",Medium-Light,58/78
Nicaragua; Guatemala,"Crisply sweet, richly savory. Cocoa nib, Asian pear, caramel, freesia-like flowers, fresh-cut oak in aroma and cup. Sweet structure with brisk acidity; full, syrupy-smooth mouthfeel. Quietly cocoa-toned finish with caramel undertones.","A friendly, accessible, balanced cup: richly cocoa-toned with crisp fruit and lush mouthfeel.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersVisit Nostalgia Coffee Roasters ",Medium-Light,54/70
Ethiopia; Kenya; Colombia; Costa Rica,"Evaluated as espresso. Deeply sweet-savory, chocolaty and fruit-forward. Lychee, chocolate fudge, pistachio brittle, plumeria, scorched cedar in aroma and small cup. Creamy-smooth mouthfeel; resonantly chocolaty finish with pleasing, slightly smoky aromatic wood undertones. In three parts milk, chocolate is further elevated, as are florals.","A richly chocolaty, deeply aromatic, spice-toned espresso blend that’s equally exciting in straight shot and in milk.",Medium,45/70
"Sidama growing region, Ethiopia ","Richly aromatic, deeply fruit-toned. Raspberry jam, almond nougat, lemon balm, cocoa nib, cedar in aroma and cup. Gently tart structure with pert acidity; plush, satiny mouthfeel. Crisp, fruity, cocoa-toned finish.","A confident, fruit-forward, cocoa-toned Ethiopia natural cup with an impressively smooth mouthfeel.Explore Similar CoffeesClick here for more reviews from Rusty Dog CoffeeClick here for more information about coffees from EthiopiaVisit Rusty Dog Coffee ",Medium-Light,60/78
"Rivas District, Chirripo Region, Costa Rica","Multi-layered, richly sweet. Dried plum, hazelnut butter, bergamot, magnolia, oak in aroma and cup. Sweet-tart structure with brisk acidity; full, satiny-smooth mouthfeel. Crisply nut-toned finish with undertones of bergamot.","A cleanly fruit-forward, invitingly floral Costa Rica cup processed by the black honey method.Explore Similar CoffeesClick here for more reviews from Rusty Dog CoffeeClick here for more information about coffees from Costa RicaVisit Rusty Dog Coffee ",Medium-Light,59/77
"Guji Zone, Oromia Region, Southern Ethiopia","Evaluated as espresso. Delicately berry-toned, richly sweet. Blackberry coulis, cocoa nib, agave syrup, fresh-cut cedar, macadamia nut in aroma and small cup. Silky, viscous mouthfeel; the finish leads with notes of agave syrup and macadamia nut. Especially pretty in cappuccino format, where berry and cocoa notes balance rich aromatic cedar.","A quietly complex espresso, more a crescendo than a jolt in its easy going but confident profile.",Medium-Light,60/78
"Sidama Region, south-central Ethiopia","Evaluated as espresso. Aromatically intense, sweet-tart-savory. Concord grape, lychee, dark chocolate, aloewood, oregano in aroma and cup. Creamy-smooth mouthfeel; savory, herbaceous, chocolaty finish. In three parts milk, savory notes usurp sweet, with inviting aloewood and oregano notes supported by dark chocolate and lychee undertones.",A strikingly composed Ethiopia anaerobic natural. Experimental processing seems to encourage a complex savory structure that pleasingly supports the up-front fruit.Explore Similar CoffeesClick here for more reviews from modcup coffeeVisit modcup coffee ,Medium-Light,59/77
"Quindio Department, Colombia","Evaluated as espresso. Brightly fruit-toned, deeply chocolaty, with savory undertones. Rambutan, sandalwood, kumquat, dark chocolate, freesia in aroma and small cup. Crisp, satiny mouthfeel; especially long, flavor-laden finish. In three parts milk, sandalwood notes frame the dark chocolate and tropical fruit throughlines.","An unusual espresso profile, this anaerobic Colombia is fruit-forward with spicy floral and deep chocolate notes, especially inviting in the plush, tartly savory straight shot.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ColombiaVisit Paradise Roasters ",Medium-Light,60/78
"Caicedonia, Valle de Cauca Department, Colombia","Evaluated as espresso. Winey and musky, richly chocolaty. Dark chocolate, red wine barrel, musk, black sage, toasted walnut in aroma and small cup. ","A fruit-forward Colombia, satiating in its herbaceous, savory depth and fruity lift, which play in harmony both in the straight shot and in cappuccino format.Explore Similar CoffeesClick here for more reviews from PT's Coffee Roasting Co.Click here for more information about coffees from ColombiaVisit PT's Coffee Roasting Co. ",Medium-Light,58/76
"Cauca Department, Colombia","Evaluated as espresso. Extremely sweet, intentionally fermenty, wine-like aroma. Red wine, salted caramel, gardenia, pomelo, hazelnut brittle in aroma and small cup. Plush, syrupy mouthfeel; crisply nut-toned and caramelly finish. In milk, this coffee is dessert-like in its impossibly deep sweetness.","Designed for milk drinks, this very sweet, very rich-toned experimentally processed Colombia coffee is for fans of caramelly, nutty profiles with intentional wine-like ferment.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from ColombiaVisit GK Coffee ",Medium-Light,58/74
"Santa Barbara Department, Honduras","Evaluated as espresso. Balanced, deep, richly floral- and fruit-toned. Hyacinth, mulberry, cocoa nib, almond butter, lemon-thyme in aroma and small cup. Crisp, syrupy mouthfeel; berry-driven, nutty finish. Harmonious and integrated in cappuccino-scaled milk, with berry and floral notes dancing at the top.","An elegant, bright, balanced Pacas natural espresso that is as compelling in the straight shot as it is in milk. A unique Honduras profile.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from HondurasVisit Kakalove Cafe ",Medium-Light,58/78
Ethiopia,"Evaluated as espresso. Decadently floral-toned with fruit underpinnings. Plumeria, black cherry, chocolate fudge, dark caramel, singed cedar in aroma and small cup. Creamy-smooth mouthfeel; crisply chocolaty, distinctly floral finish. ","A darker-roasted natural-processed blend of three Ethiopian coffees roasted for espresso. This blend is even more floral than fruity, and that’s saying something, given that it is very fruity!Explore Similar CoffeesClick here for more reviews from Simon Hsieh Aroma Roast CoffeesClick here for more information about coffees from EthiopiaVisit Simon Hsieh Aroma Roast Coffees ",Medium,48/64
"Sidama Region, south-central Ethiopia","Evaluated as espresso. Complex, richly tart, sweetly herbaceous. Watermelon candy, sassafras, star jasmine, dark chocolate, hint of eucalyptus in aroma and small cup. Viscous, syrupy mouthfeel; crisp, sweetly herbal finish. In cappuccino format, balanced, bright, deep, juicy and chocolaty.","This is a vertical coffee, from a launchpad of dark chocolate notes straight up through candy-like fruit and heady florals — call it a contemplative’s desert-island espresso.Explore Similar CoffeesClick here for more reviews from Barrington Coffee RoastingClick here for more information about coffees from EthiopiaVisit Barrington Coffee Roasting ",Medium-Light,56/74
"Sidama Region, south-central Ethiopia","Evaluated as espresso. Juicy, richly aromatic, sweetly tart. Dark chocolate, pomegranate, sandalwood, lilac, blood orange zest in aroma and small cup. Syrupy-smooth mouthfeel; long, flavor-saturated finish. High-toned and chocolaty in three parts milk, supported by elegant floral and rich aromatic wood notes.","A strikingly composed natural-processed single-origin espresso with high-toned fruit, spicy-sweet florals, deep chocolate notes, and a pleasing herbaceous throughline.Explore Similar CoffeesClick here for more reviews from Felala Coffee LabClick here for more information about coffees from Ethiopia ",Medium-Light,58/77
"Holualoa, North Kona growing district, “Big Island” of Hawai’i","Evaluated as espresso. Richly chocolaty, sweetly nutty, subtly fruity. Nutella, dried red currant, magnolia, pink grapefruit zest, rosewood in aroma and small cup. Crisp, syrupy mouthfeel; the dessert-like finish centers around notes of Nutella and magnolia. In three parts milk, plush, flavor-saturated and lingering.","A Kona on steroids: Hula Daddy is just beginning to roast for espresso applications, and this natural Kona, grown on the company’s higher-altitude farm, impressively captures the classic potential of Kona Typica in espresso format.Explore Similar CoffeesClick here for more reviews from Hula Daddy Kona CoffeeClick here for more information about coffees from HawaiiVisit Hula Daddy Kona Coffee ",Medium-Light,57/77
"Caicedonia, Valle de Cauca Department, Colombia","Richly sweet-savory, fruit-forward, juicy. Dried pineapple, dark chocolate, wine barrel, magnolia, hop flowers in aroma and cup. Richly sweet-savory structure with high-toned acidity; plush, viscous mouthfeel. The fruit-driven finish is complicated by notes of wine barrel and magnolia. ","A sweetly fermenty fruit bomb with both vibrantly bright and savory-deep impulses, juicy and complex.Explore Similar CoffeesClick here for more reviews from modcup coffeeClick here for more information about coffees from ColombiaVisit modcup coffee ",Medium-Light,60/76
"Quindio Department, Colombia","Richly fruit and spice-toned. Dried elderberry, clove, agave syrup, marjoram, sandalwood in aroma and cup. Sweet-savory structure with vibrant acidity; syrupy-smooth mouthfeel. The resonant finish leads with notes of elderberry and sandalwood.","A deeply satisfying, savory-sweet Colombia anaerobic with wide-ranging aromatics and dried fruit and warming spices on the palate.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ColombiaVisit Paradise Roasters ",Medium-Light,61/79
"Pitalito, Huila Department, Colombia","Complex, nuanced, high-toned. Wild raspberry, honeysuckle, cocoa nib, tangerine zest, honey in aroma and cup. Sweetly tart with juicy-bright acidity; full, satiny-smooth mouthfeel. The inviting finish leads with notes of cocoa nib and honey.","A focused, complex Colombia Pink Bourbon with top notes of wild berry and cocoa nib and a throughline of spicy-sweet florals and citrus zest.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ColombiaVisit Paradise Roasters ",Medium-Light,60/77
"Atok, Benguet, The Philippines","Spice-toned, deeply chocolaty. Dark chocolate, baking spices, cashew butter, lily, molasses in aroma and cup. Crisply sweet with gentle, round acidity; plush, creamy mouthfeel. Quiet, nutty finish supported by notes of baking spices.","A balanced, rich-toned, darker roasted coffee from smallholding farmers in The Philippines — chocolaty, floral, and driven by notes of baking spices.Explore Similar CoffeesClick here for more reviews from Mostra CoffeeVisit Mostra Coffee ",Medium,48/62
"Caicedonia, Valle de Cauca Department, Colombia","Crisply chocolaty, richly nut-toned. Baking chocolate, almond butter, plum, cedar, maple syrup in aroma and cup. Sweet structure with juicy acidity; velvety mouthfeel. The flavorful finish leads with notes of baking chocolate and almond with hints of plum.","A classic washed Colombia cup with crisp stonefruit notes, balanced acidity, a richly sweet structure.Explore Similar CoffeesClick here for more reviews from modcup coffeeClick here for more information about coffees from ColombiaVisit modcup coffee ",Medium-Light,59/75
"Quito, Pichincha Province, Ecuador","Bright, deep-toned. Bing cherry, almond nougat, lemon verbena, cane sugar, cedar in aroma and cup. Sweet structure with gentle, smooth acidity; very full satiny mouthfeel. The crisp finish centers around notes of almond nougat and lemon verbena.","A nuanced, multi-layered Ecuador cup that’s paradoxically both bright and deep.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from EcuadorVisit JBC Coffee Roasters ",Medium-Light,58/77
"Sabah State, East Malaysia","Richly sweet, delicately spice-toned. Baking chocolate, date, brown sugar, nutmeg, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; smooth, silky mouthfeel. The finish consolidates to notes of baking chocolate and nutmeg.","A fine cup from the Malaysian state of Sabah, which occupies part of the island of Borneo: sweet, spice-toned; original and rare.Explore Similar CoffeesClick here for more reviews from Paradise RoastersVisit Paradise Roasters ",Medium-Light,62/78
